player,bowled,faced,bowler_type,bowler_arm,spin_kind,bat_hand,source_text,bat_source_text
AU Rashid,60,17,spin,right,wrist,right,Right-arm leg break,Right-handed
A Chopra,0,75,,,,right,Right-arm medium Right-arm off break,Right-handed
RJ Gleeson,73,2,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
PN Mankad,0,75,,,,right,Right-arm medium,Right-handed
D Salunkhe,51,24,spin,right,wrist,right,Legbreak,Right-handed
KT Maphaka,71,3,pace,left,,left,Left-arm Fast bowling Fast,Left-handed
RE Levi,0,74,,,,right,Right-arm Fast bowling medium,Right-handed
Himmat Singh,0,74,,,,right,Right arm off break,Right-handed
TP Sudhindra,74,0,pace,right,,left,Right-arm fast,Left-handed
V Puthur,73,0,spin,left,wrist,,Left-arm wrist spin,bowling = Left-arm wrist spin
JM Kemp,47,25,pace,right,,right,Right-arm medium,Right-handed
SB Joshi,55,16,spin,left,finger,left,Slow left-arm orthodox,Left-handed
M Rawat,0,70,,,,right,,Right-handed
Vivrant Sharma,21,49,spin,right,wrist,left,Googly Leg-Break Googly,Left-handed
ND Doshi,57,13,spin,left,finger,right,Slow left-arm orthodox,Right-handed
Anirudh Singh,0,69,,,,left,,Left-handed
Yashpal Singh,0,67,,,,right,role = Middle-order batsman,Right-handed
AUK Pathan,41,26,pace,right,,right,Right-arm medium,Right-handed
SK Rasheed,0,67,,,,right,Right-arm leg break,Right-handed
Vishnu Vinod,0,66,,,,right,Right-arm medium-fast,Right-handed
V Viyaskanth,60,5,spin,right,wrist,right,Right arm leg break,Right-handed
K Upadhyay,56,9,pace,right,,right,Right-hand medium,Right-handed
RA Bawa,32,32,pace,right,,left,Right-arm medium-fast,Left-handed
W O'Rourke,64,0,pace,right,,right,Right-arm Fast bowling fast,Right-handed
O Thomas,63,0,pace,right,,left,Right-arm fast,Left-handed
AG Paunikar,0,61,,,,right,Right-arm Fast bowling medium,Right-handed
KAJ Roach,52,9,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
JW Hastings,61,0,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Abhinandan Singh,60,0,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
TR Birt,0,59,,,,left,Right-arm medium,Left-handed
GF Linde,37,21,spin,left,finger,left,Slow left-arm orthodox,Left-handed
D Kalyankrishna,50,8,pace,right,,right,Right arm medium fast,Right-handed
K Yadav,54,4,pace,left,,left,Left-arm Fast bowling fast-medium,Left-handed
CJ McKay,42,15,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Krish Bhagat,36,21,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
BMAJ Mendis,30,27,spin,right,wrist,left,Leg break,Left-handed
SP Jackson,0,57,,,,right,Right arm off break,Right-handed
D du Preez,43,13,pace,right,,right,Right arm Fast bowling#Categorisation of fast bowling fast-medium,Right-handed
S Sriram,18,38,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Shoaib Akhtar,46,8,pace,right,,right,Right-arm Fast bowling fast,Right-handed
T Kohler-Cadmore,0,54,,,,right,Right-arm Off spin off break,Right-handed
KB Arun Karthik,0,53,,,,right,Leg break googly,Right-handed
NS Naik,0,53,,,,right,role = Wicket-keeper,Right-handed
NL McCullum,30,23,spin,right,finger,right,Right-arm off break,Right-handed
MJ Suthar,50,2,spin,left,finger,left,Slow left-arm orthodox,Left-handed
MA Khote,30,22,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
T Henderson,36,16,pace,right,,right,Right-arm Fast bowling#Terminology fast-medium,Right-handed
JPR Scantlebury-Searles,45,6,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
C Nanda,50,1,spin,right,wrist,right,Leg break,Right-handed
N Sindhu,0,51,,,,left,Slow left-arm orthodox,Left-handed
K Santokie,51,0,pace,left,,,manual (docs/BOWLER_STYLE_TODO.md),
SS Mishra,47,3,pace,left,,left,Left arm medium fast,Left-handed
SC Kuggeleijn,50,0,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
P Ray Barman,24,25,spin,right,wrist,right,Leg break,Right-handed
B Geeves,49,0,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
Sumit Kumar,22,26,pace,right,,right,Right arm medium fast,Right-handed
GS Sandhu,48,0,pace,right,,left,Right-arm Fast bowling fast-medium,Left-handed
L Ablish,45,2,pace,right,,right,Right-arm medium,Right-handed
A Uniyal,38,7,pace,left,,left,Left-arm fast-medium,Left-handed
TL Seifert,0,44,,,,right,role = Wicket-keeper-batsman,Right-handed
LB Williams,42,2,pace,right,,left,Right arm Fast bowling medium-fast,Left-handed
B Muzarabani,44,0,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
AB Barath,0,43,,,,right,Right-arm off-break,Right-handed
SM Boland,43,0,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
RS Hangargekar,43,0,pace,right,,right,Right-arm fast bowling fast,Right-handed
R Ninan,36,6,spin,right,finger,right,Right-arm offbreak,Right-handed
L Wood,38,3,pace,left,,left,Left-arm Fast bowling fast-medium,Left-handed
CK Kapugedera,17,24,pace,right,,right,Right arm fast bowling medium,Right-handed
GR Napier,24,16,pace,right,,right,Right-arm Fast bowling medium,Right-handed
AS Yadav,0,40,,,,right,Off break,Right-handed
RG More,37,2,pace,right,,right,Right-arm medium-fast,Right-handed
B Sumanth,0,38,,,,,,
KA Maharaj,36,2,spin,left,finger,right,Slow left-arm orthodox,Right-handed
L Ronchi,0,37,,,,right,"role = Wicket-keeper , batsman",Right-handed
AA Noffke,25,12,pace,right,,right,Right-arm fast-medium,Right-handed
SSB Magala,37,0,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
BR Dunk,0,36,,,,left,Right-arm Off spin off break,Left-handed
DA Payne,31,5,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
PH Solanki,36,0,spin,right,wrist,right,Right-arm Legbreak,Right-handed
VS Yeligati,32,2,spin,right,,,manual (docs/BOWLER_STYLE_TODO.md),
Y Prithvi Raj,33,1,pace,left,,left,Left-arm Fast Bowling medium,Left-handed
SZ Mulani,33,1,spin,left,finger,left,Slow Left arm orthodox,Left-handed
DAJ Bracewell,25,9,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
AA Kulkarni,0,33,,,,,,
LPC Silva,6,27,spin,right,wrist,right,Right-arm leg-spin,Right-handed
SU Parakh,0,33,,,,,,
PM Sarvesh Kumar,31,2,pace,right,,right,Right arm medium,Right handed
S Chanderpaul,0,33,,,,left,Right-arm Leg spin leg break,Left-handed
Tanush Kotian,0,32,,,,right,Right-arm off break,Right-handed
Sunny Singh,0,31,,,,right,Right-arm medium,Right-handed
AJ Turner,0,31,,,,right,Right-arm off break,Right-handed
B Indrajith,0,31,,,,right,Right-arm leg break,Right-handed
Mashrafe Mortaza,28,2,pace,right,,right,Right arm Fast,Right-handed
PVSN Raju,29,1,pace,right,,right,Right arm Fast bowling medium-fast,Right-handed
A Dananjaya,25,5,spin,right,wrist,left,Right-arm off break Right-arm leg break,Left-handed
H Sharma,30,0,spin,right,wrist,right,Right-arm leg spin leg-break,Right-handed
S Joseph,30,0,pace,right,,left,Right-arm Fast bowling fast,Left-handed
AT Carey,0,29,,,,left,,Left-handed
TD Paine,0,29,,,,right,Right-arm Pace bowling medium,Right-handed
D Madushanka,28,0,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
D Jansen,28,0,pace,left,,right,Left-arm Fast bowling Fast,Right-handed
Akshat Raghuwanshi,0,27,,,,right,Right-arm off spin off break,Right-handed
JE Root,12,15,spin,right,finger,right,Right-arm off break,Right-handed
RK Bhui,0,27,,,,right,Leg-Break googly,Right-handed
T Taibu,0,26,,,,right,Right-arm medium,Right-handed
VH Zol,0,26,,,,left,Right-arm off break,Left-handed
DR Martyn,0,26,,,,right,Right-arm Fast bowling medium,Right-handed
DJ Malan,0,26,,,,left,Right-arm leg break,Left-handed
Virat Singh,0,26,,,,left,Right-arm offbreak,Left-handed
BJ Dwarshuis,26,0,pace,left,,left,Left-arm fast-medium,Left-handed
IC Porel,26,0,pace,right,,right,Right-arm Fast bowling medium,Right-handed
HE van der Dussen,0,25,,,,right,Right arm Leg spin leg break,Right-handed
R Smaran,0,25,,,,,,
KS Sharma,0,25,,,,right,Right-arm offbreak,Right-handed
Salil Arora,0,25,,,,,,
SS Sarkar,25,0,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
MG Neser,25,0,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
NB Singh,25,0,pace,right,,right,Right-arm fast,Right-handed
Y Gnaneswara Rao,6,18,pace,right,,right,Right arm medium,Right-handed
J Arunkumar,0,24,,,,right,Right-arm off break,Right-handed
R Goyal,24,0,spin,left,wrist,left,Left-arm unorthodox spin,Left-handed
V Kaverappa,24,0,pace,right,,right,Right-arm Pace bowling fast-medium,Right-handed
SS Agarwal,24,0,spin,right,wrist,right,Legbreak googly,Right handed
A Mukund,0,23,,,,left,"Right-arm leg break , googly",Left-handed
YV Dhull,0,23,,,,right,Right arm off break,Right-handed
T Banton,0,22,,,,right,Right-arm off break,Right-handed
Sanvir Singh,0,22,,,,right,Right arm medium,Right-handed
Kumar Kushagra,0,21,,,,right,role = Wicket-keeper batsman,Right-handed
C Madan,0,21,,,,right,,Right-handed
NJ Maddinson,0,21,,,,left,Slow left-arm orthodox Slow left-arm,Left-handed
Gulbadin Naib,6,15,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Gurnoor Brar,21,0,pace,right,,left,Right-Arm Pace bowling fast,Left-Handed
Tejas Baroka,21,0,spin,right,wrist,right,Leg break googly,Right-handed
T Kohli,0,20,,,,right,Right arm Medium pace bowling medium,Right-handed
DR Shorey,0,20,,,,right,Right-arm offbreak,Right-handed
Sunny Gupta,19,1,spin,right,finger,right,Right-arm offbreak,Right-handed
R Minz,0,20,,,,left,Slow left arm orthodox,Left-handed
NJ Rimmington,18,1,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
DS Lehmann,0,19,,,,left,Slow left arm orthodox,Left-handed
CJ Dala,19,0,pace,right,,right,Right–arm medium,Right-handed
MB Parmar,19,0,spin,right,,,manual (docs/BOWLER_STYLE_TODO.md),
LI Meriwala,19,0,pace,left,,left,Left-arm fast bowling fast-medium,Left-handed
PWA Mulder,6,12,pace,right,,right,Right-arm fast bowling medium,Right-handed
Jalaj S Saxena,18,0,spin,right,finger,right,Right arm off break,Right-handed
RS Ghosh,18,0,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
A Nel,18,0,pace,right,,right,Right–arm Fast bowling fast-medium,Right-handed
RW Price,18,0,spin,left,finger,right,Left arm orthodox spin Slow left arm orthodox,Right-handed
X Thalaivan Sargunam,0,17,,,,right,,Right-handed
R Bishnoi,0,17,,,,right,Right-arm medium-fast,Right-handed
Arshad Khan (2),13,4,pace,left,,left,Left-arm medium,Left-handed
CJ Green,17,0,spin,right,finger,right,Right-arm off break,Right-handed
Sediqullah Atal,0,16,,,,left,role = Batting order (cricket) Opening batter,Left-handed
Abdur Razzak,14,2,spin,left,finger,left,Slow left-arm orthodox,Left-handed
R Sanjay Yadav,14,2,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Saurav Chauhan,0,16,,,,,,
Monu Kumar,16,0,pace,right,,right,Right arm medium,Right-handed
UA Birla,0,15,,,,right,Right arm medium,Right-handed
ER Dwivedi,0,15,,,,right,,Right-handed
T Dahiya,0,15,,,,,,
Musheer Khan,12,3,spin,left,finger,right,Left-arm orthodox spin,Right-handed
NA Saini,15,0,pace,right,,right,Right-arm Fast bowling fast,Right-handed
RR Bhatkal,12,2,pace,right,,right,Right-arm medium,Right-handed
RS Gavaskar,6,8,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Mohit Rathee,12,2,spin,right,wrist,right,Right-arm leg spin leg-break,Right-handed
MDKJ Perera,0,13,,,,left,Right-arm Fast bowling medium,Left-handed
F Behardien,0,13,,,,right,Right-arm Fast bowling medium,Right-handed
SD Lad,0,13,,,,right,Right-arm off break,Right-handed
DT Patil,0,13,,,,right,role = Wicket-keeper,Right-handed
S Midhun,13,0,spin,right,wrist,right,Legbreak googly,Right-handed
AA Kazi,13,0,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Mohammad Ashraful,0,12,,,,right,Right-arm off spin off break Right-arm leg break }},Right-handed
AR Bawne,0,12,,,,right,Right-arm off break,Right-handed
PSP Handscomb,0,12,,,,right,Right-arm off break,Right-handed
MP Breetzke,0,12,,,,right,Right-arm Fast bowling medium,Right-handed
T Vijay,12,0,spin,left,,,manual (docs/BOWLER_STYLE_TODO.md),
RR Bose,12,0,pace,right,,right,Right-arm fast-medium,Right-handed
BJ Haddin,0,11,,,,right,role = Wicket-keeper-batter,Right-handed
TM Srivastava,0,11,,,,left,Right-arm medium,Left-handed
BKG Mendis,0,11,,,,right,Right-arm leg spin leg break,Right-handed
I Malhotra,6,4,pace,right,,right,Right-arm medium-fast,Right-handed
A Tomar,0,8,,,,,role =,bowling =
AN Ghosh,0,8,,,,right,Right-arm fast bowling medium,Right-handed
LG Pretorius,0,8,,,,,,
SS Shaikh,0,7,,,,right,Right-arm fast bowling medium,Right-handed
Younis Khan,0,7,,,,right,Right-arm medium,Right-handed
SS Mundhe,7,0,pace,right,,right,Right-arm medium-fast,Right-handed
P Chopra,0,6,,,,right,Legbreak googly,Right-handed
P Prasanth,6,0,spin,left,finger,left,Fast bowling Slow Left-Arm Orthodox,Left-handed
C Ganapathy,6,0,pace,right,,right,Right-arm medium,Right-handed
Karim Janat,6,0,pace,right,,right,Right-arm medium-fast,Right-handed
RA Shaikh,6,0,pace,left,,,manual (docs/BOWLER_STYLE_TODO.md),
KS Rathore,0,5,,,,,,
H Das,0,5,,,,right,,Right-handed
BR Sharath,0,5,,,,right,role = Wicket-keeper,Right-handed
DM Bravo,0,5,,,,left,Right arm fast bowling medium,Left-handed
DV Malewar,0,5,,,,,,
MS Bhandage,0,4,,,,left,Right-arm Fast bowling medium-fast,Left-handed
Liton Das,0,4,,,,right,Off spin Right-arm off break,Right-handed
Shivam Singh,0,3,,,,,,
MJ Owen,0,2,,,,right,Right-arm Fast bowling medium,Right-handed
Ravi Singh,0,2,,,,,,
RS Sodhi,0,2,,,,right,Right-arm medium fast,Right-handed
JL Denly,0,1,,,,right,Right-arm leg spin,Right-handed
U Kaul,0,1,,,,left,role = Wicket-keeper,Left-handed
Abdul Basith,0,1,,,,right,Right-arm off spin off-break,Right-handed
