player,bowled,faced,bowler_type,bowler_arm,spin_kind,bat_hand,source_text,bat_source_text
AN Ahmed,362,27,pace,right,,right,Right-arm Fast bowler fast-medium,Right-handed
JP Behrendorff,379,9,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
VY Mahesh,359,28,pace,right,,right,Right-arm Fast bowling (cricket) medium-fast,Right-handed
CR Brathwaite,266,120,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
KW Richardson,345,39,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
R Sathish,144,236,pace,right,,right,Right-arm Fast bowling medium,Right-handed
VRV Singh,371,3,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
GH Vihari,43,331,spin,right,finger,right,Right-arm off-break,Right-handed
WPUJC Vaas,288,73,pace,left,,left,Left-arm fast bowling fast medium,Left-handed
TK Curran,252,108,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Ashutosh Sharma,0,356,,,,right,Right-arm Fast bowling medium,Right-handed
SB Styris,222,134,pace,right,,right,Right-arm fast bowling medium,Right-handed
JDP Oram,244,110,pace,right,,left,Right-arm Fast bowling fast-medium,Left-handed
SA Asnodkar,0,352,,,,right,Right-arm off break,Right-handed
AC Thomas,327,19,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
DB Ravi Teja,18,325,spin,right,wrist,right,Right-arm leg spin,Right-handed
Y Nagar,72,271,spin,right,finger,right,Right arm Offbreak,Right-handed
A Mithun,312,26,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
GD McGrath,329,5,pace,right,,right,Right arm Fast bowling fast-medium,Right-handed
JP Inglis,0,328,,,,right,role = Wicket-keeper-batter,Right-handed
DJ Mitchell,51,274,pace,right,,right,Right-arm Fast bowling medium,Right-handed
G Coetzee,292,33,pace,right,,right,Right-arm Fast bowling fast,Right-handed
R Rampaul,272,52,pace,right,,left,Right arm fast bowling fast medium,Left-handed
Pankaj Singh,311,12,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
KR Mayers,46,276,pace,right,,left,Right-arm Fast bowling medium,Left-handed
RN ten Doeschate,83,238,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
RR Rossouw,0,321,,,,left,Right-arm Off spin off break,Left-handed
MV Boucher,0,318,,,,right,Right arm fast bowling medium,Right-handed
Akash Deep,302,14,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
C Connolly,0,316,,,,left,Slow left-arm orthodox,Left-handed
JDS Neesham,222,93,pace,right,,left,Right-arm Fast bowling medium-fast,Left-handed
J Overton,217,98,pace,right,,right,Right-arm Fast bowling fast,Right-handed
UBT Chand,0,314,,,,right,Right-arm off break,Right-handed
SJ Srivastava,306,5,pace,left,,right,Left-arm fast-medium,Right-handed
S Sohal,0,311,,,,right,Legbreak,Right handed
BA Bhatt,303,7,spin,left,finger,left,Slow left-arm orthodox,Left-handed
R Ravindra,12,298,spin,left,finger,left,Slow left-arm orthodox,Left-handed
K Kartikeya,290,18,spin,left,wrist,right,"Slow Left arm Orthodox, Left arm Wrist spin",Right-handed
SP Goswami,0,307,,,,left,Right-arm Fast bowling medium,Left-handed
K Goel,67,239,pace,right,,left,Right-arm medium,Left-handed
AA Jhunjhunwala,88,218,spin,right,finger,right,Right-arm off-break,Right-handed
Sameer Rizvi,0,304,,,,right,Right arm off break,Right-handed
Joginder Sharma,272,30,pace,right,,right,Right arm fast bowling fast-medium,Right-handed
Brijesh Sharma,297,4,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
XC Bartlett,269,29,pace,right,,right,Right-arm Pace bowling fast-medium,Right-handed
Sohail Tanvir,265,31,pace,left,,left,Left-arm Fast bowling medium-fast,Left-handed
AB McDonald,188,103,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
Shivang Kumar,240,50,spin,left,,,manual (docs/BOWLER_STYLE_TODO.md),
S Badree,263,25,spin,right,wrist,right,Right-arm leg spin,Right-handed
DJ Willey,221,64,pace,left,,left,Left-arm Fast bowling fast-medium,Left-handed
AP Tare,0,285,,,,right,,Right-handed
Rahmanullah Gurbaz,0,283,,,,right,,Right-handed
AG Murtaza,269,14,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Sakib Hussain,274,7,pace,right,,,Right-arm fast-medium,Right footed
Fazalhaq Farooqi,266,15,pace,left,,right,Left-arm fast,Right-handed
HR Shokeen,213,67,spin,right,finger,right,Right-arm off break,Right-handed
Ramandeep Singh,66,212,pace,right,,right,Right-arm Fast bowling medium,Right-handed
Anuj Rawat,0,276,,,,left,role = Wicket-keeper-batter,Left-handed
Simarjeet Singh,256,15,pace,right,,right,Right arm Fast bowling medium fast,Right handed
AF Milne,238,33,pace,right,,right,Right-arm Fast bowling fast,Right-handed
VVS Laxman,0,271,,,,right,Right-arm off spin,Right-handed
DB Das,0,267,,,,right,,Right-handed
AA Chavan,255,11,spin,left,finger,left,Slow left-arm orthodox,Left-handed
B Chipli,6,256,pace,right,,right,Right-arm medium,Right-handed
M Kaif,0,258,,,,right,Right-arm Off spin off break,Right-handed
KR Sen,255,3,pace,right,,right,Right arm Fast bowling fast,Right-handed
Akash Singh,256,0,pace,left,,right,Left-arm medium-fast,Right-handed
SH Johnson,243,12,pace,left,,left,Left-arm fast bowling fast,Left-handed
CRD Fernando,249,3,pace,right,,right,Right arm fast bowling fast,Right-handed
LA Pomersbach,0,251,,,,left,Right-arm off-break,Left-handed
A Mhatre,0,250,,,,right,Right-arm Offspin off break,Right-handed
BAW Mendis,244,6,spin,right,finger,right,Right-arm off break off spin,Right-handed
B Akhil,193,57,pace,right,,right,Right-arm medium-fast,Right-handed
PD Collingwood,90,159,pace,right,,right,Right-arm medium,Right-handed
PK Garg,0,247,,,,right,Right-arm medium,Right-handed
KC Cariappa,224,21,spin,right,wrist,right,Leg break,Right-handed
J Theron,230,13,pace,right,,right,Right arm Fast bowling#Categorisation of fast bowling fast-medium,Right-handed
A Manohar,0,243,,,,right,Leg break googly,Right-handed
A Chandila,234,7,spin,right,finger,right,Right-arm offbreak,Right-handed
AM Ghazanfar,237,3,spin,right,finger,right,Right arm off spin,Right-handed
MP Yadav,230,6,pace,right,,right,Right-arm Pace bowling fast,Right-handed
J Little,236,0,pace,left,,right,Left-arm fast,Right-handed
JL Pattinson,222,13,pace,right,,left,Right-arm Fast bowling fast-medium,Left-handed
C Bosch,171,63,pace,right,,right,Right-arm fast medium,Right-handed
TS Mills,218,14,pace,left,,right,Left-arm Fast bowling fast,Right-handed
M Ntini,213,19,pace,right,,right,Right-arm Fast bowling fast,Right-handed
Shahid Afridi,185,46,spin,right,wrist,right,Right-arm leg spin,Right-handed
Sikandar Raza,88,143,spin,right,finger,right,Right-arm off break,Right-handed
Karanveer Singh,213,17,spin,right,wrist,right,Right-arm legbreak & googly,Right-handed
KP Appanna,222,4,spin,left,finger,right,Left-arm orthodox,Right-handed
S Tyagi,220,4,pace,right,,right,Right arm fast-medium,Right-handed
J Syed Mohammad,196,27,spin,left,finger,left,Slow left arm orthodox,Left-handed
YA Abdulla,222,1,pace,left,,left,Left arm Fast bowling#Terminology fast-medium,Left-handed
Parvez Rasool,200,20,spin,right,finger,right,Right-arm off break,Right-handed
Kartik Sharma,0,220,,,,right,role = Wicket keeper batter,Right-handed
KL Nagarkoti,185,34,pace,right,,right,Right-arm Fast bowling fast,Right-handed
VS Malik,212,7,pace,right,,right,Right-arm medium,Right-handed
D Ferreira,18,195,spin,right,finger,right,Right-arm Off spin off break,Right-handed
MD Mishra,0,213,,,,right,Right arm off spin,Right-handed
V Pratap Singh,211,1,pace,right,,right,Right-arm medium,Right-handed
S Lamichhane,211,1,spin,right,wrist,right,Leg break,Right-handed
SMSM Senanayake,195,17,spin,right,finger,right,Right-arm off spin off break,Right-handed
SB Bangar,153,58,pace,right,,right,Right-arm medium,Right-handed
Swapnil Singh,165,46,spin,left,finger,right,Slow left-arm orthodox,Right-handed
S Kaushik,210,1,spin,left,wrist,right,Slow left-arm wrist-spin,Right-handed
Harsh Dubey,200,11,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Zeeshan Ansari,209,0,spin,right,wrist,right,Legbreak googly,Right-handed
KMA Paul,180,26,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Mohammad Asif,199,6,pace,right,,left,Right armed fast bowling medium fast,Left-handed
Aniket Verma,0,205,,,,right,Right arm Fast bowling medium-fast,Right-handed
J Fraser-McGurk,0,203,,,,right,Right-arm leg break,Right-handed
Ashwani Kumar,196,6,pace,left,,left,Left arm Fast bowling medium-fast,Left-handed
AS Raut,30,172,spin,right,wrist,right,Legbreak googly,Right-handed
PBB Rajapaksa,0,201,,,,left,Right-arm Fast bowling medium,Left-handed
IS Sodhi,182,18,spin,right,wrist,right,Right-arm leg break,Right-handed
AC Voges,56,143,spin,left,finger,right,Slow left-arm orthodox,Right-handed
MJ Lumb,0,198,,,,left,Right-arm Fast bowling medium,Left-handed
MW Short,45,153,spin,right,finger,right,Right-arm off break,Right-handed
N Thushara,198,0,pace,right,,right,Right arm Fast bowling medium-fast,Right handed
MJ Guptill,0,196,,,,right,Right-arm off-break,Right-handed
D Pretorius,166,28,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
I Udana,182,11,pace,left,,right,Left-arm medium,Right-handed
SE Bond,191,2,pace,right,,right,Right-arm Fast bowling fast,Right-handed
M Siddharth,193,0,spin,left,finger,right,Slow left arm orthodox,Right-handed
B Laughlin,179,13,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
FY Fazal,12,179,pace,right,,left,Right-arm medium,Left-handed
SM Katich,0,191,,,,left,Slow left-arm wrist spin,Left-handed
Atharva Taide,1,188,spin,left,finger,left,Left-arm orthodox,Left-handed
AJ Hosein,175,14,spin,left,finger,left,Slow left-arm orthodox,Left-handed
Yash Raj Punja,186,0,spin,right,,,manual (docs/BOWLER_STYLE_TODO.md),
OC McCoy,180,5,pace,left,,left,Left-arm fast-medium,Left-handed
MS Wade,0,185,,,,left,Right-arm Pace bowling medium,Left-handed
S Randiv,180,4,spin,right,finger,right,Right-arm offbreak,Right-handed
YV Takawale,0,183,,,,right,"role = Batsman , Wicket-keeper",Right-handed
CA Ingram,0,183,,,,left,Right arm leg spin,Left-handed
P Nissanka,0,180,,,,right,role = Batting order (cricket)#Top order Top-order batter,Right-handed
PP Hinge,168,9,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
MJ Henry,166,10,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
S Sandeep Warrier,176,0,pace,right,,right,Right-arm Fast bowling medium-fast,Right-handed
Kamran Khan,170,5,pace,left,,left,Left-arm fast-medium,Left-handed
CK Langeveldt,165,9,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
HF Gurney,169,5,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
Umar Gul,153,19,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Salman Butt,0,172,,,,left,Right-arm off spin,Left-handed
SP Fleming,0,171,,,,left,Right-arm medium-slow,Left-handed
FH Allen,0,168,,,,right,Right-arm off break,Right-handed
KS Bharat,0,168,,,,right,role = Wicket-keeper-batter,Right-handed
PA Reddy,0,167,,,,right,Right-arm leg break,Right-handed
T Thushara,144,19,pace,left,,left,Left-arm fast bowling fast-medium,Left-handed
K Khejroliya,163,0,pace,left,,left,Left-arm medium-fast,Left-handed
P Parameswaran,159,3,pace,left,,right,Left-arm fast bowling fast-medium,Right-handed
RR Raje,144,18,pace,right,,right,Right-armed fast bowling fast-medium,Right-handed
MJ Clarke,66,96,spin,left,finger,right,Slow left-arm orthodox,Right-handed
Anand Rajan,162,0,pace,right,,right,Right-arm Medium,Right-handed
Yudhvir Singh,145,16,pace,right,,right,Right-arm medium-fast,Right-handed
BE Hendricks,157,3,pace,left,,left,Left-arm Fast bowling fast-medium,Left-handed
DP Vijaykumar,159,1,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),bowling =
HC Brook,0,159,,,,right,Right-arm fast bowling medium,Right-handed
Gurjapneet Singh,159,0,pace,left,,right,Left-arm Fast bowling fast-medium,Right-handed
CM Gautam,0,158,,,,right,role = Wicket-keeper,Right-handed
LE Plunkett,154,3,pace,right,,right,Right-arm fast bowling fast medium,Right-handed
C Munro,12,144,pace,right,,left,Right-arm Fast bowling medium fast,Left-handed
JA Duffy,156,0,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
AM Salvi,156,0,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
N Jagadeesan,0,155,,,,right,,Right-handed
FH Edwards,150,5,pace,right,,right,Right arm Fast bowling fast,Right-handed
GC Viljoen,146,7,pace,right,,right,Right-arm Fast bowling fast,Right-handed
R Shukla,130,23,pace,right,,right,Right-arm Fast bowling medium,Right-handed
BJ Rohrer,7,145,pace,right,,left,Right-arm Fast bowling medium,Left-handed
B Stanlake,150,2,pace,right,,left,Right-arm Fast bowling fast,Left-handed
WA Mota,75,76,pace,right,,right,Right arm Fast bowling Medium,Right-handed
S Ladda,141,10,spin,right,wrist,right,Right arm Leg spin leg break,Right-handed
RV Gomez,97,53,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
SB Dubey,0,148,,,,left,Right-arm offbreak,Left-handed
Mohammad Hafeez,63,84,spin,right,finger,right,Right-arm off break,Right-handed
OF Smith,95,50,pace,right,,right,Right arm Fast bowling fast-medium,Right-handed
KM Asif,143,2,pace,right,,right,Right-arm medium,Right-handed
GD Phillips,31,112,spin,right,finger,right,Right arm off-break,Right-handed
N Saini,0,143,,,,right,role = Wicket-keeper,Right-handed
DH Yagnik,0,142,,,,left,role = Wicket-keeper,Left-handed
S Narwal,113,29,pace,right,,left,Right-arm medium,Left-handed
Ashok Sharma,136,5,pace,right,,,manual (docs/BOWLER_STYLE_TODO.md),
P Dogra,0,141,,,,right,Legbreak,Right-handed
Mayank Dagar,138,1,spin,left,finger,right,Slow left-arm orthodox,Right-handed
LJ Wright,75,63,pace,right,,right,Right-arm Fast bowling medium,Right-handed
MA Wood,127,10,pace,right,,right,Right-arm Fast bowling fast,Right-handed
MN van Wyk,0,135,,,,right,Slow left-arm orthodox,Right-handed
MC Juneja,0,134,,,,right,Right-arm off break,Right-handed
SS Cottrell,131,2,pace,left,,right,Left-arm fast-medium,Right-handed
Sachin Baby,10,123,spin,right,finger,left,Right-arm off break,Left-handed
P Amarnath,132,0,pace,right,,right,Right-arm Fast bowling medium,Right-handed
RJW Topley,125,6,pace,left,,right,Left-arm Fast bowling Fast-medium,Right-handed
SD Chitnis,38,92,spin,right,finger,right,Right-arm off break,Right-handed
RT Ponting,0,129,,,,right,Right-arm Fast bowling medium,Right-handed
W Jaffer,0,129,,,,right,Right-arm off break,Right-handed
A Choudhary,108,20,pace,left,,right,Left-arm medium,Right-handed
S Vidyut,13,115,spin,left,finger,left,Left-arm orthodox spin Slow Left arm Orthodox,Left-handed
JE Taylor,122,4,pace,right,,right,Right arm Fast bowling fast,Right-handed
SD Hope,0,125,,,,right,Left-arm medium,Right-handed
NK Patel,0,124,,,,left,,Left-handed
T Shamsi,120,4,spin,left,wrist,right,Left-arm unorthodox spin,Right handed
A Flintoff,66,57,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
Suryansh Shedge,19,104,pace,right,,right,Right-arm medium,Right-handed
MD Choudhary,0,122,,,,,,
Jaskaran Singh,111,11,pace,right,,right,Right-arm medium,Right-handed
JA Richardson,94,27,pace,right,,right,Right-arm fast bowling fast,Right-handed
S Anirudha,0,121,,,,right,,Right-handed
Ankit Soni,112,9,spin,right,wrist,right,Leg break googly,Right-handed
Arjun Tendulkar,107,14,pace,left,,left,Left-arm fast bowling medium-fast,Left-handed
DJ Harris,18,103,pace,right,,right,Right-arm Fast bowling medium,Right-handed
JG Bethell,0,120,,,,left,Slow left-arm orthodox,Left-handed
P Sahu,107,13,spin,right,wrist,right,Leg break googly,Right-handed
DJM Short,18,102,spin,left,wrist,left,Left-arm unorthodox spin,Left-handed
Harpreet Singh,0,119,,,,left,Right-arm fast bowling medium,Left-handed
AD Hales,0,119,,,,right,Right-arm Fast bowling medium,Right-handed
CJ Ferguson,0,119,,,,right,Right-arm Fast bowling medium,Right-handed
M de Lange,116,2,pace,right,,right,Right-arm Fast bowling fast,Right-handed
Shivam Sharma,114,3,spin,right,finger,right,Right-arm off break,Right-handed
Anmolpreet Singh,0,117,,,,right,Right-arm off-break,Right-handed
BB Samantray,0,116,,,,right,Right-hand medium,Right-handed
Aman Hakim Khan,6,109,pace,right,,right,Right-arm medium,Right-handed
MG Bracewell,66,49,spin,right,finger,left,Right-arm off break,Left-handed
PHKD Mendis,42,72,spin,left,finger,left,Slow left-arm orthodox Right-arm off break }},Left-handed
SS Prabhudessai,0,113,,,,right,Right-arm medium,Right-handed
MD Shanaka,38,74,pace,right,,right,Right-arm Fast bowling medium,Right-handed
P Dubey,79,33,spin,right,wrist,right,Leg break googly,Right-handed
SB Wagh,108,3,pace,left,,left,Left-arm fast bowling fast-medium,Left-handed
FA Allen,91,19,spin,left,finger,right,Slow left-arm orthodox,Right-handed
KJ Abbott,102,8,pace,right,,right,Right-arm Fast bowling fast-medium,Right-handed
KMDN Kulasekara,107,3,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
Shoaib Ahmed,103,6,pace,right,,right,Right-arm fast-medium,Right-handed
Shoaib Malik,58,49,spin,right,finger,right,Right-arm Off spin off break,Right-handed
P Suyal,107,0,pace,left,,right,Left-arm fast-medium,Right-handed
RJ Quiney,0,105,,,,left,Right-arm Fast bowling medium,Left-handed
